loop,iteration,qd_score,max_fitness,coverage,time
87,861,170088.6,213.07233,52.441406,0.0009605884552001953
88,871,170350.98,213.07233,52.441406,0.0004611015319824219
89,881,170777.64,213.1034,52.539062,0.0006358623504638672
90,891,171497.39,213.1034,52.734375,0.0009658336639404297
91,901,171879.02,213.2977,52.83203,0.0004591941833496094
92,911,172204.9,213.2977,52.929688,0.00040984153747558594
93,921,172235.83,213.2977,52.929688,0.00041794776916503906
94,931,172482.66,213.54399,53.027344,0.0048792362213134766
95,941,172717.81,213.54399,53.125,0.0004279613494873047
96,951,173103.11,213.54399,53.222656,0.0005376338958740234
97,961,173171.12,213.54399,53.222656,0.0029349327087402344
98,971,173308.2,213.54399,53.222656,0.0004589557647705078
99,981,173790.03,213.65027,53.320312,0.0007119178771972656
100,991,174158.78,213.65027,53.41797,0.0012340545654296875
